id,player1,player2
int,string,string
id,Nguoi choi 1,Nguoi choi2
1,Rickyhd90,duynalc
2,Kinknight,Nguhoc99
3,Satthuvotinh0909,conghieu1997
4,Khongminhbn,Phamthen1993
5,Nhulaithanchuong_01,Minhbang
6,Fb_641030,Tranvankien
7,Tuanannguyen1982kute,Fb_614197
8,Fb_666283,Quocminh_no1
9,Fb_722800,Thigianghp
10,Hungsaky123,Smilelovekutte
11,Vykhanh22122002,Khogay23456
12,Tymanhluong,Ntdung99
13,Tottochan,Kimcuong_phuc_ma
14,Trongtron,Banhongdoan
15,Vutuananh,Doan1khanh
16,Zzzdragonzzz102,Thanhtai2
17,Donguyenthuytien,Chauvanminh5852
18,Huylawliet,Vuive2004
19,Makyvuong,Nhatchimai123
20,Fb_692357,Dothanhcong1851994
21,Binna19,Lekha114
22,Llllf,Conganh090
23,Hieunt,Iuanhemzamko1988Â
24,Trongmyai,01206863054
25,Taima1994,1caothuco
26,Fb_674439,Hgiaphuc2
27,01676160269,Galaxyonline
28,Sieugaday,Haibei
29,Sontung123,Vang01111991
30,Mr_nam,Handsome090289
31,Duyanh0909,Huanpham911
32,Fb_686785,231123
33,Kyhuu,Kythu1990
34,0975897689,Vonhatlinh
35,Anhkaka2410,Tungpro2000
36,Nguyenchung82,103993106622816@fb
37,0906613217,Hotgirl2016
38,Herosuong,Ngochienpbc
39,Hius2thuy,Ky25295
40,Kudodzoto,0979617007
41,Nomorenoless,Vuhuydung
42,Kiemkhachdatinh,King99
43,Thuongbg0709,Nghiagiang
44,Daithieugiatamthanh,Chudumd
45,Hopoz99,Lagleiue
46,Nhutzu7,Luankool93
47,01265678186,Dungxeloi
48,Duylai87,0963986814
