id,player1,player2
int,string,string
id,Nguoi choi 1,Nguoi choi 2
1,Phuchoai94,Dinh_thanh
2,Dinhprokorea,Shinichikuro
3,Quachan,Diu9999
4,Dungnhi,Thanco_88
5,Tangdao,Huynhde01
6,Leale,Bopman
7,Trongtron,Luankool93
8,Tuanct93,Manhquanlc2013
9,Vonhatlinh123,12vanlong
10,Dotritan,Tranthuy
11,Huynhtra_my2101,Nguyenkhon888
12,Manhnguyen7,Duchuynhqtkd
13,008abhy,Langtumuagio0790
14,Boptiensinh,Linhvirgo
15,Manhtruongdhtn,Dvhoang
16,Galaxy99,Minhbang
17,Ngoalonghphp,Hieuthao2289
18,Hoc_co_6789,Phuongthuy154
19,Thinhthien1,Ku_ao_85
20,Kythu_angiang,Vntieulong
