id,player1,player2
int,string,string
id,Nguoi choi 1,Nguoi choi2
1,Duytung88,Thienngoaiphitien
2,Thancoyh,Xintacho
3,Thachsaudoi,Vanphuc20
4,Tai_hagl,Quangminh11389
5,Viqua1808,Fb_710833
6,Dieulinh2007,Auduong_pham
7,Miumiukythu1972,Mrtdpnet
8,Phuchoai94,Hoadenhat89
9,Club_vinhphuc,Zack1
10,Fb_576093,Malethu
11,Conduongmua263,Convit9
12,Tranvankien,Fb_518987
13,Thigianghp,Trungsamsung
14,Duong_phuong_thao,Bunbeo17
15,Tranganhson,Congbg
16,Hientran039,Vinhcanto
17,Fb_718802,Thienlyma
18,Bachhaiduong1,Cothu3790
19,Llbabyll,Minhdailoc
20,Cokinhbac,Dotritan
21,Bolinhnam,Giacatbui
22,Maxthuan,Nhatbaoffx
23,Tumanghia2,Daihaithuy28
24,Dangkhoa7183,Congadaklak
25,Fococev1,Thanhnha123
26,Tranminhdat87,0902033779
27,Ngaovl,Chiisairisu
28,Chinese,Fb_581275
29,Ronaldocr7,Kyhuu
30,Anhhoan99,Xiao_ly
31,Lethivan94,Cothutq591
32,Ts2ta_1812,008abhy
