id,player1,player2
int,string,string
id,Nguoi choi 1,Nguoi choi2
1,Maiducson1991,0972595555
2,0975897689,Nguyenvuhadung
3,Anh87th,Quanghaikc
4,Nvhjep89bg,Songhonghanoi
5,Thienlyma,Ducthuan1982
6,Hoadenhat89,Tai_hagl
7,Huyensu,Thugiabinh
8,Tumanghia2,Kytien1989
9,521582171327358@fb,Yltnvn
10,Vodanh36,Huyninhgiang
11,Thienngoaiphitien,784691138305726@fb
12,Nguyenvanhuan20290,Anhtuanvsipfms
13,Bvcr1900,Nhthonguyen1
14,Duamuoi12345,Thai2
15,Cothuhooo,Hoahongdencm
16,Kingmaster,Thienmaiha
17,Taituquocnam,Linhmuc
18,Thuxemlabiet,Manhpro179
19,Minhnamls,Tuannaub
20,Nguyenducthinh10101983,Tung99bg
