id,player1,player2
int,string,string
id,Nguoi choi 1,Nguoi choi2
1,Thanhnha123,Ngaohap
2,Gaconcp93,Llbabyll
3,Bunbeo17,Minhdailoc
4,Tumanghia2,Fb_518987
5,Huytrang88,Xintacho
6,Ngaovl,Lethanhdanh
7,Mecotuong2014,008abhy
8,Ngocloi273,Bolinhnam
9,Daihaithuy28,Micgaru
10,Thigianghp,Hoabinbin
11,Huynhtra_my2101,Fb_695419
12,Binna19,Phamthen1993
13,Thanco_88,Duyanh0909
14,Choicochovui99,Xoantitma
15,Fb_630626,Jinmaster
16,Nguyenliem1985,Hoangnampham
17,Quyen_linh8x,Huyninhgiang
18,Ohhaynhi,1trietkool
19,Ahuy246,Nongbichviet
20,Caothucodon2015,Tybmw
21,Cargill,Tusaker91
22,Longan66,19781040
23,Congbg,Caothag123
24,Afterasmile9,Tumakhai
25,Vonhatlinh123aThancoyh
26,Fococev1,Lethivan94
27,Harrynam,Quocanhquockhanh
28,Phuchoai94,Donkihote
29,Tdthainguyen,Duongthuy841
30,Ngocthang84,Rucuoi12
31,Tuanvi2611,Vodainghi2011a
32,76truongdinh,Denhatquan
33,Tuannaub,Akiramaster3
34,1504898033131404@fb,Misss
35,513201015514072@fb,Ngolinhds
36,Fb_594839,Saigondeu
37,Hainx83th,Dinh_thanh
38,Huanhuong1511,Callboyhn1
39,Pikachu1683,Doichuaheo
40,Nghia10021980,Bomcute20121980
41,Fb_577561,Phanbatao
42,Vuhuynhthanh,Fb_729635
43,Ngdinhtuan40,Vumalo
44,Phuclydat,Nusoncuoc
