id,player1,player2
int,string,string
id,Nguoi choi 1,Nguoi choi2
1,Hero_tkd,0981080223
2,15101975,Gialangst
3,Hoanghuy6789ok,9star
4,Aulacphutho,Kienhoanghuong
5,Lexuanhuy8878,Baokhoi153
6,Chihanhduc,Longca1
7,Maxthuan,Chimkuteno1
8,Chinhphuc,Mbamrcyber
9,Minhtckh,Chipbaby
10,Codoc,Ngdinhbang
11,Ngochoiaticc123,Dangkhoa7183
12,Deeplone,Nhatbaoffx
13,Phaothu2016,Dieulinh2007
14,Dohao222,Quangtuan2015
15,Quangtum,Ducnguyenvnp
16,Dukichcuchi,Smilewin
17,Taekwondo,Dung2501
18,Duong_phuong_thao,Tiensinhvu
19,Trantrunghau,Fb_576093
20,Fb_595567,Trinhai81
21,Troito2210,Fb_685977
22,Fb_728602,Truong123thanh
23,Tuankietlx,Fb_730665
24,Ga113355,Tuyetamdao
25,Vntieulong,Gamepro1410
26,Haiyen79,Zalimiwan
27,0975897689,Kiettran1610
28,Kq0979430000,0983490905
29,9273238h,Lamhoangson
30,Langtu1689,Admin1321
31,Ajajajajaj,Lybinh1999
32,Malethu,Anh87th
33,Anhhoan99,Manufc
34,Miumiukythu1972,Anhtuanvsipfms
35,Asakuras3,Muctieua
36,Namhuynh888662,Bminhquoc
37,Calvin1988,Nganchejun
38,Ngomanhhung29,Camry25
39,Cothu3790,Nguyenvannho9999
40,Nhocson123,Dat1234
41,Dungtrannh,Nuacoisonha
42,Quangthetran,Duytung88
43,Fb_581275,Sieugaday
44,Tai_hagl,Fb_647798
45,Fb_687291,Tdntb
46,Thanhhuyst,Fb_694566
47,Giacatbui,Thuyenno1
48,Tuilaai,Guitar86
49,Hailinh1985,Venhi1
50,Vodanh94,Hieuvtvt0
51,Hqvemxin,Voidinh
52,Vuvantinh,Huumon
53,Khanhhong_1812,Xiuxiutran
54,Thichsobim,Langtumuagio0790
