id,player1,player2
int,string,string
id,Nguoi choi 1,Nguoi choi2
1,Pjxjnh,Basach
2,Chipbaby,Quangminh11389
3,Quangnamnvm02,Cothutq591
4,Daihaithuy28,Quocanhquockhanh
5,Thanbaipq3,Dinh_thanh
6,Fb_558059,Thanco_88
7,Thanhco123456789,Giang95nghean
8,Haiyen79,Thienngoaiphitien
9,Timd0jthu,Hatcatvothuong
10,Khongnhoten,Time_to_love
11,Tovantuan1973,Kythu1990
12,Lambpm,Tranthuy
13,Trong91hp,Langtumuagio0790
14,Minhtri2327,Trunghoabatdiet
15,Tuanct93,Muoidaklak
16,Nguyenhaiyennhi,Tuannaub
17,Tumanghia2,Nguyenkhon888
18,Phamvanthen,Visao95s
19,Vntieulong,Phongsatasi
20,Phuouongzxc,Vuongphuc
21,0975897689,Nghiepphamvan
22,Ngoctrung92neu,0975999123
23,920684427978627@fb,Nguyen_xuan_soan
24,Nguyenngocthach,Aulacphutho
25,Caothucoupcotuongbacninh,Pexinhdalat
26,Phamcongthanghp,Chelseafamily
27,Cuibapthoi,Phamthen1993
28,Quanghaikc,Cutra01
29,Cuuamck3,Quangvinhvo
30,Satthuhiepke,Dotritan
31,Galaxyonline,Sieudanhhay
32,Supportmtptung,Giaoluu9999
33,Hainx83th,Thachmuoidoi
34,Thanhhuyst,Hoainam87
35,Kitientuan,Thienlyma
36,Tranminhdat87,Kyuc691613
37,Linhmuc,Trongtron
38,Vodanhcongtu,Maxthuan
39,Minhbang,Vs_nguyen
40,Wolf1999999,Mitiu
